date,composite_close,photo_neg_companies,photo_neg_industries,photo_neg_policies,photo_neg_technology,text_neg_companies,text_neg_industries,text_neg_policies,text_neg_technology,Mkt-RF,SMB,HML,RMW,CMA,RF
1/2/2018,3348.33,0.340236785,0.798641879,0.677737697,0.703599099,0.355452736,0.480187249,0.365237255,0.347235918,0.85,0.32,-0.21,-0.51,0.22,0.005
1/3/2018,3369.11,0,0.692095757,0.574659588,0.548133178,0,0.501631069,0.49537037,0.498809524,0.59,-0.47,-0.19,-0.71,-0.07,0.005
1/4/2018,3385.71,0.124201651,0.514187569,0.423373163,0.371066996,0.489770876,0.494474145,0.53346688,0.471121715,0.42,-0.22,0.24,-0.03,0.3,0.005
1/5/2018,3391.75,0.696404718,0.116683148,0.666688867,0.512277581,0.487292885,0.42281746,0.521533277,0.457050901,0.66,-0.37,-0.25,0.39,-0.38,0.005
1/8/2018,3409.48,0.28833293,0.617812429,0.329699387,0.648664838,0.519521425,0.492903498,0.51243083,0.524940772,0.19,-0.2,0.05,-0.06,0.04,0.005
1/9/2018,3413.90,0.671580703,0.573537251,0.999994278,0.575977743,0.533217576,0.490078671,0.519423077,0.512520191,0.15,-0.37,-0.04,-0.13,-0.06,0.005
1/10/2018,3421.83,0.446601861,0.521052549,0.747710205,0.589615018,0.497476803,0.45994308,0.497578634,0.524091641,-0.07,0.13,0.57,-0.37,-0.02,0.005
1/11/2018,3425.34,0.609938403,0.458363404,0.623119636,0.656415529,0.519675926,0.469167236,0.539440302,0.497127954,0.87,1.13,0.3,-0.22,0.48,0.005
1/12/2018,3428.94,0.589211807,0.999810278,0.99649624,0.487375405,0.46070415,0.508147918,0.440832739,0.515277778,0.66,-0.32,0.16,-0.1,0.13,0.005
1/15/2018,3410.49,0.477012924,0.463625199,0.760808636,0.457844542,0.491773293,0.479897542,0.496279786,0.53533708,0,0,0,0,0,0
1/16/2018,3436.59,0.560460325,0.774725616,0.499516476,0.783637106,0.520411582,0.492908848,0.505735115,0.501484832,-0.49,-1,0.01,0.49,-0.35,0.005
1/17/2018,3444.67,0.508517492,0.993311375,0.988403618,0,0.535755521,0.499377706,0.493963256,0.515625,0.95,-0.05,-0.1,-0.08,-0.04,0.005
1/18/2018,3474.75,0.802414016,0.985051721,0.723031451,0.004246155,0.487437996,0.516793787,0.531547937,0.486842105,-0.18,-0.44,-0.25,0.31,-0.3,0.005
1/19/2018,3487.86,0.525801527,0.942854623,0.456847393,0.072098799,0.550041008,0.475092245,0.53831818,0.525373784,0.57,0.93,-0.05,0.09,0.12,0.005
1/22/2018,3501.36,0.649590728,0.468618409,0.550649596,0.380939527,0.527723887,0.506238081,0.519433504,0.490946522,0.77,-0.35,-0.16,-0.58,0.19,0.005
1/23/2018,3546.50,0.463996268,0.521367419,0.410248517,0,0.462276946,0.516827679,0.487166243,0.518170426,0.22,0.07,-0.36,-0.4,-0.28,0.005
1/24/2018,3559.47,0.292777062,0.984731495,0.993582457,0.001025576,0.51538653,0.511876321,0.524938725,0.445378151,-0.13,-0.75,0.44,0.02,0.13,0.005
1/25/2018,3548.31,0.502801663,0.663065121,0.490516238,0.006877735,0.544460979,0.49077381,0.511608734,0.575931762,0.07,0.11,-0.54,0.19,-0.18,0.005
1/26/2018,3558.13,0.665157068,0.281322319,0.630570703,0.30888954,0.509495465,0.529568765,0.512664708,0.470833333,1.11,-0.61,-0.51,0.29,-0.18,0.005
1/29/2018,3523.00,0.515741912,0.37107073,0.761516772,0.643403209,0.537240203,0.49215303,0.516124486,0.592852722,-0.62,-0.03,-0.28,0.15,-0.31,0.005
1/30/2018,3488.01,0.439630098,0.996243914,0.999444216,0.483693351,0.531183862,0.493688725,0.513950893,0.505534512,-1.06,0.13,-0.21,0.41,-0.36,0.005
1/31/2018,3480.83,0.680909362,0.725141843,0.600860385,0.999998093,0.516111111,0.54800485,0.510549737,0.470559245,-0.07,-0.67,0.11,0.1,-0.06,0.005
2/1/2018,3446.98,0.71742063,0.561370733,0.607523385,0.478991387,0.499117095,0.519936502,0.542270586,0.49842437,0.03,0.12,0.53,-0.55,-0.01,0.006
2/2/2018,3462.08,0.665261563,0.984209001,0.755251759,0,0.502573305,0.515544872,0.513538435,0.505357143,-2.13,0.01,-0.29,0.72,-0.42,0.006
2/5/2018,3487.50,0.304057511,0.578394804,0.647954822,0.012716071,0.509680739,0.578177675,0.514043566,0.137278233,-4.04,0.66,-0.59,0.19,-0.14,0.006
2/6/2018,3370.65,0.999814808,0.933617204,0.046756103,0.998810679,0.574862278,0.467571993,0.54327381,0.408234127,1.67,-0.48,-0.19,0.03,-0.15,0.006
2/7/2018,3309.26,0.990699315,0.378605038,0.669953585,0.222045905,0.547152778,0.493936012,0.549122807,0.559236111,-0.38,0.6,0.21,0.32,0.3,0.006
2/8/2018,3262.05,0.40458332,0.998344988,0.852461696,0.220408027,0.512610784,0.52254214,0.484837225,0.525412797,-3.68,0.8,0.52,0.41,0.05,0.006
2/9/2018,3129.85,0.632999137,0.884716153,0.995113224,0.999451309,0.518513922,0.48046875,0.511861547,0.516493056,1.37,-0.54,0.15,0.17,-0.44,0.006
2/12/2018,3154.13,0.413021582,0.411063024,0.612337108,0.322435408,0.550053063,0.301979962,0.532544051,0.338875438,1.36,-0.46,-0.3,-0.24,-0.18,0.006
